   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.78350     0.994591      0.99784631      0.99244925
      2.78400     0.994551      0.99781841      0.99238130
      2.78450     0.994510      0.99779046      0.99231228
      2.78500     0.994468      0.99776250      0.99224333
      2.78550     0.994428      0.99773455      0.99217509
      2.78600     0.994386      0.99770665      0.99210519
      2.78650     0.994343      0.99767870      0.99203475
      2.78700     0.994300      0.99765074      0.99196426
      2.78750     0.994257      0.99762285      0.99189383
      2.78800     0.994214      0.99759489      0.99182263
      2.78850     0.994172      0.99756694      0.99175274
      2.78900     0.994127      0.99753904      0.99168065
      2.78950     0.994080      0.99751109      0.99160631
      2.79000     0.994036      0.99748319      0.99153464
      2.79050     0.993992      0.99748319      0.99148987
      2.79100     0.993943      0.99748319      0.99144165
      2.79150     0.993898      0.99748319      0.99139676
      2.79200     0.993852      0.99748319      0.99135086
      2.79250     0.993805      0.99748319      0.99130330
      2.79300     0.993758      0.99748319      0.99125722
      2.79350     0.993710      0.99748319      0.99120877
      2.79400     0.993662      0.99748319      0.99116067
      2.79450     0.993613      0.99748319      0.99111215
      2.79500     0.993563      0.99748319      0.99106263
      2.79550     0.993514      0.99748319      0.99101358
      2.79600     0.993465      0.99748319      0.99096417
      2.79650     0.993413      0.99748319      0.99091316
      2.79700     0.993364      0.99748319      0.99086405
      2.79750     0.993311      0.99748319      0.99081125
      2.79800     0.993260      0.99748319      0.99075983
      2.79850     0.993208      0.99748319      0.99070875
      2.79900     0.993156      0.99748319      0.99065691
      2.79950     0.993103      0.99748319      0.99060370
      2.80000     0.993049      0.99748319      0.99055013
      2.80050     0.992997      0.99742734      0.99044277
