Test Spectra from Irwin et al. (2014), The Transit Spectra of Earth and Jupiter, Icarus
Column 1: Wavelength (in microns)
Column 2: 100*Ap/Astar (Earth-Sun Primary Transit)
Column 3: 100*Ap/Astar (Earth-Mdwarf Primary Transit)
Column 4: 100*Ap/Astar (Jupiter-Sun Primary Transit)
Column 5: Fp/Astar (Earth-Sun Secondary Eclipse)
Column 6: Disc-averaged radiance of Earth (W cm-2 sr-1 micron-1)
Column 7: Fp/Astar (Jupiter-Sun Secondary Eclipse)
Column 8: Disc-averaged radiance of Jupiter (W cm-2 sr-1 micron-1)
Column 9: Solar spectral irradiance spectrum (W micron-1)
           (Solar Radius = 695500.0 km)
Column 10: Mdwarf spectral irradiance spectrum (W micron-1)
           (Mdwarf Radius = 97995.0 km)
     Column 1     Column 2     Column 3     Column 4     Column 5     Column 6     Column 7     Column 8     Column 9    Column 10
      2.38400   0.00841719     0.423983      1.06133  1.74229e-11  1.84213e-05  7.60812e-12  6.40199e-08  1.69790e+25  8.81479e+22
      2.40000   0.00841512     0.423879      1.06100  1.64851e-11  1.69942e-05  1.44696e-11  1.18713e-07  1.65545e+25  8.31920e+22
      2.41600   0.00841380     0.423813      1.06079  1.42769e-11  1.43512e-05  2.00694e-11  1.60552e-07  1.61419e+25  7.80819e+22
      2.43200   0.00841314     0.423780      1.06070  1.38025e-11  1.35368e-05  2.92581e-11  2.28362e-07  1.57490e+25  7.31383e+22
      2.44800   0.00841239     0.423742      1.06042  1.32942e-11  1.27193e-05  6.43440e-11  4.89915e-07  1.53634e+25  6.87785e+22
      2.46400   0.00841276     0.423760      1.06006  1.04671e-11  9.77855e-06  1.33653e-10  9.93639e-07  1.50011e+25  6.50366e+22
      2.48000   0.00841510     0.423877      1.05986  6.66448e-12  6.08335e-06  2.13308e-10  1.54946e-06  1.46571e+25  6.17483e+22
      2.49600   0.00841565     0.423905      1.05979  4.38424e-12  3.91200e-06  2.71397e-10  1.92712e-06  1.43278e+25  5.89790e+22
      2.51200   0.00841508     0.423876      1.05980  3.30984e-12  2.88696e-06  2.54468e-10  1.76635e-06  1.40061e+25  5.67005e+22
      2.52800   0.00841653     0.423949      1.05982  2.08789e-12  1.78072e-06  2.37937e-10  1.61509e-06  1.36965e+25  5.48602e+22
      2.54400   0.00841868     0.424057      1.05993  1.51965e-12  1.26701e-06  2.30487e-10  1.52952e-06  1.33901e+25  5.34251e+22
      2.56000   0.00842223     0.424235      1.06035  1.17435e-12  9.56841e-07  1.16334e-10  7.54431e-07  1.30855e+25  5.24061e+22
      2.57600   0.00842722     0.424486      1.06060  8.04882e-13  6.40185e-07  5.07933e-11  3.21553e-07  1.27738e+25  5.17585e+22
      2.59200   0.00843047     0.424649      1.06054  6.25412e-13  4.85336e-07  6.43664e-11  3.97564e-07  1.24630e+25  5.13593e+22
      2.60800   0.00843091     0.424671      1.06018  5.47499e-13  4.15029e-07  2.10040e-10  1.26727e-06  1.21742e+25  5.11269e+22
      2.62400   0.00842893     0.424572      1.05965  5.67555e-13  4.20543e-07  6.75636e-10  3.98462e-06  1.19000e+25  5.09510e+22
      2.64000   0.00842494     0.424371      1.05925  6.75515e-13  4.89777e-07  1.42282e-09  8.21083e-06  1.16442e+25  5.05105e+22
      2.65600   0.00843567     0.424909      1.05906  4.89338e-13  3.47467e-07  1.95112e-09  1.10271e-05  1.14039e+25  4.97357e+22
      2.67200   0.00846314     0.426287      1.05900  1.66525e-13  1.15974e-07  2.14164e-09  1.18713e-05  1.11847e+25  4.87008e+22
      2.68800   0.00847581     0.426923      1.05898  5.53559e-14  3.78355e-08  2.20606e-09  1.20011e-05  1.09769e+25  4.74490e+22
      2.70400   0.00847139     0.426701      1.05896  7.23016e-14  4.84445e-08  2.24838e-09  1.19904e-05  1.07607e+25  4.60197e+22
      2.72000   0.00845809     0.426033      1.05895  1.66979e-13  1.09591e-07  2.25029e-09  1.17549e-05  1.05404e+25  4.46028e+22
      2.73600   0.00845364     0.425810      1.05894  1.92337e-13  1.23579e-07  2.25881e-09  1.15514e-05  1.03188e+25  4.33350e+22
      2.75200   0.00846520     0.426391      1.05893  9.36126e-14  5.88765e-08  2.27505e-09  1.13886e-05  1.01007e+25  4.22257e+22
      2.76800   0.00847116     0.426690      1.05893  5.21709e-14  3.21273e-08  2.22329e-09  1.08971e-05  9.88984e+24  4.12316e+22
      2.78400   0.00846891     0.426577      1.05892  8.20775e-14  4.94931e-08  2.09586e-09  1.00590e-05  9.68423e+24  4.03404e+22
      2.80000   0.00846008     0.426133      1.05893  1.78773e-13  1.05585e-07  1.81423e-09  8.52828e-06  9.48512e+24  3.95281e+22
