# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7542 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Jupiter '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Dec 04'        / UT date of SXD observations                    
# LXDUT   = '2002 Dec 04'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810598 / Minimum wavelength (um)                        
# MAXWAVE =              4.93968 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.856487                9.84043e-09         1.00474e-11
             0.856719                9.71164e-09         9.95328e-12
             0.856952                9.51136e-09         9.87205e-12
             0.857184                8.97504e-09         9.38410e-12
             0.857416                8.69266e-09         9.01820e-12
             0.857648                8.63059e-09         8.81600e-12
             0.857880                8.45353e-09         8.61220e-12
             0.858112                8.45843e-09         8.64058e-12
             0.858344                8.14152e-09         8.47085e-12
             0.858576                8.08757e-09         8.48681e-12
             0.858808                8.27706e-09         8.85888e-12
             0.859040                8.22124e-09         8.69364e-12
             0.859272                7.64943e-09         7.99542e-12
             0.859504                7.52449e-09         7.83389e-12
             0.859736                7.53851e-09         7.85059e-12
             0.859968                7.17224e-09         7.53201e-12
             0.860200                6.81582e-09         7.23588e-12
             0.860432                6.43384e-09         6.82363e-12
             0.860664                6.27024e-09         6.58344e-12
             0.860896                6.22035e-09         6.45487e-12
             0.861128                5.87750e-09         6.07972e-12
             0.861360                5.70577e-09         5.91812e-12
             0.861592                5.52465e-09         5.76255e-12
             0.861824                5.48564e-09         5.75772e-12
             0.862056                5.18418e-09         5.39569e-12
             0.862288                5.00433e-09         5.13391e-12
             0.862520                5.26776e-09         5.36627e-12
             0.862752                5.49344e-09         5.56069e-12
             0.862984                5.69245e-09         5.76047e-12
             0.863216                5.64934e-09         5.76546e-12
             0.863448                5.47034e-09         5.62926e-12
             0.863680                5.25999e-09         5.37347e-12
             0.863911                5.08483e-09         5.19840e-12
             0.864143                5.47190e-09         5.57237e-12
             0.864375                5.70195e-09         5.87350e-12
             0.864607                5.74599e-09         5.82105e-12
             0.864839                5.51825e-09         5.76314e-12
             0.865071                5.46614e-09         5.74469e-12
             0.865303                5.45535e-09         5.70319e-12
             0.865535                5.36786e-09         5.56544e-12
             0.865766                5.83747e-09         6.00732e-12
             0.865998                6.02903e-09         6.19406e-12
             0.866230                4.90239e-09         5.11192e-12
             0.866462                4.16695e-09         4.37950e-12
             0.866694                5.01533e-09         5.25427e-12
             0.866926                5.77001e-09         6.00892e-12
             0.867157                5.85920e-09         6.04008e-12
             0.867389                6.17503e-09         6.32641e-12
             0.867621                6.44333e-09         6.58665e-12
             0.867853                6.77385e-09         6.93636e-12
             0.868085                7.26685e-09         7.48871e-12
             0.868316                7.29066e-09         7.56584e-12
             0.868548                7.26880e-09         7.48859e-12
             0.868780                7.53250e-09         7.69155e-12
             0.869012                7.56963e-09         7.68559e-12
             0.869244                7.57631e-09         7.68892e-12
             0.869475                7.77327e-09         7.91236e-12
             0.869707                8.04063e-09         8.08888e-12
             0.869939                7.96619e-09         8.00398e-12
             0.870171                7.90342e-09         7.87406e-12
             0.870402                7.95989e-09         7.88197e-12
             0.870634                8.02748e-09         7.85419e-12
             0.870866                8.27649e-09         8.12170e-12
             0.871098                8.36247e-09         8.18705e-12
             0.871329                8.30957e-09         8.23045e-12
             0.871561                8.62151e-09         8.60392e-12
             0.871793                8.99470e-09         8.89676e-12
             0.872024                9.08564e-09         8.88654e-12
             0.872256                9.31194e-09         9.21178e-12
             0.872488                9.51205e-09         9.52951e-12
             0.872719                9.36663e-09         9.37376e-12
             0.872951                9.31882e-09         9.35755e-12
             0.873183                9.55057e-09         9.75997e-12
             0.873414                9.83206e-09         1.00330e-11
             0.873646                9.59352e-09         9.72176e-12
             0.873878                9.24757e-09         9.34854e-12
             0.874109                9.36501e-09         9.47860e-12
             0.874341                9.32281e-09         9.47594e-12
             0.874573                9.30642e-09         9.52095e-12
             0.874804                9.41650e-09         9.65714e-12
             0.875036                9.38727e-09         9.55917e-12
             0.875268                9.31683e-09         9.43471e-12
             0.875499                9.19635e-09         9.28263e-12
             0.875731                9.26245e-09         9.35620e-12
             0.875962                9.27452e-09         9.40618e-12
             0.876194                9.32653e-09         9.51316e-12
             0.876426                9.12962e-09         9.33945e-12
             0.876657                9.08349e-09         9.23048e-12
             0.876889                9.00672e-09         9.10323e-12
             0.877120                9.04554e-09         9.11397e-12
             0.877352                8.90096e-09         8.97730e-12
             0.877583                8.52788e-09         8.61825e-12
             0.877815                8.53110e-09         8.57171e-12
             0.878047                8.50179e-09         8.51003e-12
             0.878278                8.36168e-09         8.29762e-12
             0.878510                8.40467e-09         8.29409e-12
             0.878741                8.20599e-09         7.99198e-12
             0.878973                7.79176e-09         7.58132e-12
             0.879204                7.16559e-09         7.02033e-12
             0.879436                6.44380e-09         6.33423e-12
             0.879667                6.04550e-09         5.98402e-12
             0.879899                5.41646e-09         5.32802e-12
             0.880130                4.58711e-09         4.50304e-12
             0.880362                4.20857e-09         4.14625e-12
             0.880593                3.92745e-09         3.90951e-12
             0.880825                3.57003e-09         3.57405e-12
             0.881056                3.44739e-09         3.47891e-12
             0.881288                3.15128e-09         3.23760e-12
             0.881519                2.49381e-09         2.59550e-12
             0.881751                2.03558e-09         2.15319e-12
             0.881982                1.82291e-09         1.96585e-12
             0.882214                1.73838e-09         1.88508e-12
             0.882445                1.58605e-09         1.75844e-12
             0.882676                1.47273e-09         1.68598e-12
             0.882908                1.51685e-09         1.72961e-12
             0.883139                1.40784e-09         1.60699e-12
             0.883371                1.26393e-09         1.49081e-12
             0.883602                1.30784e-09         1.53310e-12
             0.883834                1.30655e-09         1.58721e-12
             0.884065                1.41012e-09         1.62369e-12
             0.884297                1.59325e-09         1.80429e-12
             0.884528                1.74324e-09         1.96471e-12
             0.884759                2.07188e-09         2.26324e-12
             0.884991                2.26854e-09         2.44033e-12
             0.885222                2.18338e-09         2.36183e-12
             0.885454                2.10815e-09         2.28397e-12
             0.885685                2.03333e-09         2.21521e-12
             0.885916                1.99470e-09         2.18724e-12
             0.886148                1.90796e-09         2.11228e-12
             0.886379                1.71363e-09         1.92290e-12
             0.886610                1.34246e-09         1.57822e-12
             0.886842                9.87741e-10         1.26380e-12
             0.887073                8.48817e-10         1.15183e-12
             0.887304                9.08252e-10         1.19992e-12
             0.887536                9.33284e-10         1.21973e-12
             0.887767                1.02891e-09         1.30804e-12
             0.887999                1.12795e-09         1.39731e-12
             0.888230                1.22145e-09         1.47074e-12
             0.888461                1.31666e-09         1.55352e-12
             0.888692                1.51732e-09         1.73276e-12
             0.888924                1.67073e-09         1.87692e-12
             0.889155                1.54119e-09         1.76195e-12
             0.889386                1.36271e-09         1.60133e-12
             0.889618                1.56526e-09         1.88661e-12
             0.889849                1.77311e-09         2.00420e-12
             0.890080                1.68173e-09         1.87169e-12
             0.890312                1.47009e-09         1.69966e-12
             0.890543                1.41478e-09         1.61810e-12
             0.890774                1.59035e-09         1.79061e-12
             0.891006                1.60080e-09         1.85280e-12
             0.891237                1.39053e-09         1.63559e-12
             0.891468                1.37058e-09         1.57451e-12
             0.891699                1.61188e-09         1.78030e-12
             0.891931                1.77762e-09         1.92764e-12
             0.892162                1.72432e-09         1.91928e-12
             0.892393                1.61252e-09         1.86243e-12
             0.892624                1.54505e-09         1.87027e-12
             0.892856                1.60964e-09         1.87452e-12
             0.893087                1.68962e-09         1.91827e-12
             0.893318                1.67269e-09         1.86625e-12
             0.893549                1.49834e-09         1.70020e-12
             0.893780                1.31697e-09         1.51937e-12
             0.894012                1.30536e-09         1.50759e-12
             0.894243                1.40557e-09         1.61365e-12
             0.894474                1.44381e-09         1.63639e-12
             0.894705                1.45688e-09         1.64269e-12
             0.894937                1.47532e-09         1.65299e-12
             0.895168                1.50332e-09         1.69042e-12
             0.895399                1.54222e-09         1.71594e-12
             0.895630                1.39421e-09         1.59969e-12
